name,region,lat,lon,tags
거북선공원,전라남도,34.7606283453,127.6667403776,"관광,문화"
거북선나루터,서울특별시,37.5182707714,126.9676539295,"관광,자연"
거북선대교,전라남도,34.7364352647,127.74951153,"관광,문화"
거북선마을,경상남도,34.9985498643,128.040620983,"관광,문화"
거북섬,경기도,37.3214690582,126.6797384195,"관광,자연"
거슨새미오름,제주특별자치도,33.4521283086,126.7610119406,"관광,자연"
거열산성군립공원,경상남도,35.6928937045,127.8786196518,"관광,자연"
거일1리 어촌체험마을,경상북도,36.710988344,129.475113485,"관광,문화"
거잠포선착장,인천광역시,37.4221140221,126.4254255008,"관광,자연"
거잠포해변,인천광역시,37.4221334646,126.4254532761,"관광,자연"
거전마을 [농촌체험],충청남도,36.3597300019,126.8403693657,"관광,문화"
거제 계도어촌체험마을,경상남도,34.9748138011,128.5174966194,"관광,문화"
거제 쌍근어촌체험마을,경상남도,34.7624916086,128.5893265378,"관광,문화"
거제 우제봉전망대,경상남도,34.730535603,128.6750254917,"관광,문화"
거제 윤돌섬,경상남도,34.8057356483,128.6808257769,"관광,자연"
거제 지세포진성,경상남도,34.8329582924,128.7187106519,"관광,문화"
거제대교,경상남도,34.8837038163,128.4764387198,"관광,문화"
거제도,경상남도,34.8548244444,128.5172414841,"관광,자연"
거제도 포로수용소 유적공원,경상남도,34.8764184192,128.6253953896,"관광,문화"
거제도 해금강,경상남도,34.7333354513,128.6839246455,"관광,자연"
거제도해초쑥 영농조합법인,경상남도,34.8677204249,128.6826850817,"관광,문화"
거제식물원,경상남도,34.8568253143,128.5781500188,"관광,자연"
거제자연휴양림,경상남도,34.7841760229,128.6296446835,"관광,자연"
거제저도유람선,경상남도,35.0010475573,128.7035269333,"관광,문화"
거제케이블카,경상남도,34.7843399541,128.6330110537,"관광,자연"
거조사,경상북도,36.0201338921,128.7646046699,"관광,문화"
거진항,강원특별자치도,38.4465127542,128.4598152167,"관광,자연"
거창 갈계리 삼층석탑,경상남도,35.7931506445,127.8147003936,"관광,문화"
거창 감악사지 승탑,경상남도,35.5905507092,127.933350892,"관광,문화"
거창 강남사지 석조여래입상,경상남도,35.7403816619,127.8165766434,"관광,문화"
거창 거기리 성황단,경상남도,35.7559265332,127.9391237212,"관광,문화"
거창 내오리 지석묘,경상남도,35.7819116096,127.8907050804,"관광,문화"
거창 당동 당집,경상남도,35.7241036091,128.0087489825,"관광,문화"
거창 동호리 이씨고가,경상남도,35.7989520008,127.927362489,"관광,문화"
거창 무릉리 정씨고가,경상남도,35.664217596,127.9458144856,"관광,문화"
거창 서변마을,경상남도,35.7150752074,127.9168156812,"관광,문화"
거창 솔향기돌담마을,경상남도,35.798626998,127.9251793584,"관광,문화"
거창 수승대,경상남도,35.7609657443,127.8336967988,"관광,문화"
거창 요수정,경상남도,35.7622516612,127.8309664506,"관광,문화"
거창 일원정,경상남도,35.645300422,127.953058798,"관광,문화"
거창 항노화힐링랜드,경상남도,35.7367527544,128.040926354,"관광,자연"
