name,region,lat,lon,contentid,image_url,tags,checkin_time,checkout_time,room_count,parking,facilities,detailed_keywords,keywords
나인브릭호텔,서울특별시,37.5538352404,126.920584992,2918636,,"관광,숙박",,,,,,[],
나인스파빌,제주특별자치도,33.445393216,126.4301213796,2498670,,"관광,숙박",,,,,,[],
나인원펜션,강원특별자치도,37.8025678434,128.8705730629,2913594,,"관광,숙박",,,,,,[],
나포리모텔,경상북도,35.8711900157,128.1792077024,2413542,,"관광,숙박",,,,,,[],
나폴리모텔,경상남도,34.844857261,128.4261052378,595573,,"관광,숙박",,,,,,[],
낙산 패밀리파크,강원특별자치도,38.1187875731,128.6293156121,138224,,"관광,숙박",,,,,,[],
낙산디그니티호텔,강원특별자치도,38.1085750898,128.6405454674,2710726,,"관광,숙박",,,,,,[],
낙산비치호텔,강원특별자치도,38.1236064859,128.6308125493,2710618,,"관광,숙박",,,,,,[],
남문한옥 대명헌,인천광역시,37.7448386068,126.4856055,2706769,,"관광,숙박",,,,,,[],
남산호스텔,서울특별시,37.5580831159,126.9846040375,2487684,,"관광,숙박",,,,,,[],
남순재,전라남도,34.6207030837,127.3855740593,3416791,,"관광,숙박",,,,,,[],
남원예촌,전북특별자치도,35.4044425675,127.3793935943,2528155,,"관광,숙박",,,,,,[],
남이섬설리조트,강원특별자치도,37.7958524789,127.5822871919,2907740,,"관광,숙박",,,,,,[],
남이섬하늘사랑,경기도,37.8099747356,127.5227144237,3416148,,"관광,숙박",,,,,,[],
남해 디풀빌라,경상남도,34.7077714996,128.050638747,2819569,,"관광,숙박",,,,,,[],
남해 산마루 펜션,경상남도,34.8849981779,128.0104154637,3044526,,"관광,숙박",,,,,,[],
남해비치호텔[한국관광 품질인증/Korea Quality],경상남도,34.7680900048,127.9063359046,232318,,"관광,숙박",,,,,,[],
남해펜션920,경상남도,34.7283078158,127.8759368002,1997502,,"관광,숙박",,,,,,[],
남해펜션타운,경상남도,34.7821449125,127.9593142498,912530,,"관광,숙박",,,,,,[],
남현당,서울특별시,37.5744812737,126.9881310293,1868919,,"관광,숙박",,,,,,[],
남호구택,경상북도,36.8938305643,128.7124007849,2594864,,"관광,숙박",,,,,,[],
낭만시대 게스트하우스(낭만시대),전북특별자치도,35.8180749794,127.1484144273,2570681,,"관광,숙박",,,,,,[],
너랑온펜션,강원특별자치도,37.5909132366,129.0891321745,2913809,,"관광,숙박",,,,,,[],
너른바위,강원특별자치도,37.7476331449,128.032217193,398005,,"관광,숙박",,,,,,[],
너와 나의 둥지,전라남도,34.7410561431,126.7181380382,2569105,,"관광,숙박",,,,,,[],
넘버25 수원화성행궁점,경기도,37.2802937185,127.0179532651,2849981,,"관광,숙박",,,,,,[],
넘버25 호텔 남춘천점,강원특별자치도,37.8650250479,127.7349295905,3044527,,"관광,숙박",,,,,,[],
네스트호텔,인천광역시,37.4246137307,126.4253948792,3464661,,"관광,숙박",,,,,,[],
노고단 게스트하우스&호텔,전라남도,35.3165566847,127.4605109267,2531516,,"관광,숙박",,,,,,[],
노떼 라 미아 호텔,부산광역시,35.111846856,129.0397363452,2892757,,"관광,숙박",,,,,,[],
노보텔 앰배서더 서울 동대문 호텔 & 레지던스,서울특별시,37.5663519553,127.0043936669,3337233,,"관광,숙박",,,,,,[],
노보텔 앰배서더 수원,경기도,37.2685364102,126.9991164145,3511808,,"관광,숙박",,,,,,[],
노블 스테이 (Noble Stay),광주광역시,35.2168158192,126.8493230352,2701043,,"관광,숙박",,,,,,[],
노블레스호텔,광주광역시,35.1532091689,126.8523993549,496378,,"관광,숙박",,,,,,[],
노블레스호텔,전라남도,34.9547596839,127.5258700132,1836374,,"관광,숙박",,,,,,[],
노블리온호텔,경상북도,36.0123485256,129.3470064513,2912307,,"관광,숙박",,,,,,[],
노송정종택(퇴계생가),경상북도,36.749721482,128.8283502491,1877477,,"관광,숙박",,,,,,[],
노스텔지아 펜션,강원특별자치도,38.2018466144,127.2713369669,560988,,"관광,숙박",,,,,,[],
노을&바다 펜션,인천광역시,37.2792950491,126.4569820867,554419,,"관광,숙박",,,,,,[],
노을내리는아름다운집,인천광역시,37.6890725216,126.3063373769,2593573,,"관광,숙박",,,,,,[],
노을빛바다펜션,전라남도,35.0658744564,126.3438937605,2486495,,"관광,숙박",,,,,,[],
노을빛호수(드림레이크),충청북도,37.0197697697,128.1684096512,907780,,"관광,숙박",,,,,,[],
녹운재,전북특별자치도,35.9028641921,127.2425815969,2049307,,"관광,숙박",,,,,,[],
녹차향펜션,전라남도,34.6710257106,127.0861462829,139787,,"관광,숙박",,,,,,[],
녹천모텔,경기도,37.8015067567,127.2461565494,139069,,"관광,숙박",,,,,,[],
녹천호텔 [한국관광 품질인증/Korea Quality],부산광역시,35.2205354427,129.0808964546,2637949,,"관광,숙박",,,,,,[],
논산 명재고택,충청남도,36.2818689912,127.1312092519,1992090,,"관광,숙박",,,,,,[],
놀러와락 게스트하우스,경상북도,35.840671254,129.2298383153,2435566,,"관광,숙박",,,,,,[],
누와,서울특별시,37.57963031,126.9677966258,2707440,,"관광,숙박",,,,,,[],
눈꽃새 펜션,강원특별자치도,37.5982146808,128.3436379383,2801460,,"관광,숙박",,,,,,[],
눈꽃여행,전북특별자치도,35.9124582874,127.7567356523,2575832,,"관광,숙박",,,,,,[],
뉴 동해 관광호텔,강원특별자치도,37.5263487322,129.103080138,142819,,"관광,숙박",,,,,,[],
