Aㅁid,name,region,overview,latitude,longitude,contentid,tags,image_url,detailed_keywords
,국제해양영화제 (KIOFF),부산광역시 영도구 해양로195번길 180 (동삼동),,35.086430938,129.0767532647,2661307,"축제,인문",,[]
,국토정중앙 달맞이축제,강원특별자치도 양구군 양구읍 박수근로 366-33,,38.1064460195,127.9814860049,1199173,"축제,인문",,[]
,국토정중앙 청춘양구 배꼽축제,강원특별자치도 양구군 양구읍 박수근로 366-11,,38.1045851442,127.9824831927,1018971,"축제,인문",,[]
,군산 수제맥주&블루스 페스티벌,전북특별자치도 군산시 해망로 224 (장미동),,35.9898145759,126.7131626804,2853719,"축제,인문",,[]
,군산시간여행축제,전북특별자치도 군산시 중앙로1가,,35.9877870048,126.7117073071,1846797,"축제,인문",,[]
,군산짬뽕페스티벌,전북특별자치도 군산시 장미1길 41 (장미동),,35.9885980786,126.7149458856,3364857,"축제,인문",,[]
,군위 사랑과 나눔 문화축전,대구광역시 군위군 군위읍 군위금성로 307-14,,36.234748186,128.6030406458,2876799,"축제,인문",,[]
,군포 철쭉축제,경기도 군포시 고산로 470 (산본동),,37.3565526959,126.92662054,1804396,"축제,인문",,[]
,굿즈이즈굿V.2,서울특별시 강서구 마곡중앙로 143 (마곡동),,37.5667792585,126.8254071964,3051471,"축제,인문",,[]
,궁궐 일상모습 재현 및 체험,서울특별시 종로구 창경궁로 185 창경궁,,37.5789336838,126.9964634775,2859976,"축제,인문",,[]
,궁중문화축전,서울특별시 종로구 사직로 161,,37.5788222356,126.9769930325,1998564,"축제,인문",,[]
,귀어귀촌 어촌관광 한마당,서울특별시 종로구 세종대로 175 (세종로),,37.5720618985,126.9763210635,3495688,"축제,인문",,[]
,그루브 인 관악,서울특별시 관악구 관천로 53 (신림동),,37.48416565,126.9257892588,2826964,"축제,인문",,[]
,그린라이프페스타,대구광역시 수성구 무학로 112 (두산동),,35.829419486,128.6206032541,3357119,"축제,인문",,[]
,근대역사문화축제,전북특별자치도 익산시 중앙로 12-151 (중앙동2가),,35.9381550596,126.9480235933,3386681,"축제,인문",,[]
,"근현대사 추리여행, '사라진 열쇠를 찾아라'",서울특별시 강북구 삼양로 561,,37.6530781245,127.0122877055,2592414,"축제,인문",,[]
,글로벌 영도커피페스티벌,부산광역시 영도구 해양로301번길 55,,35.0772042891,129.0819836173,2841074,"축제,인문",,[]
,글로벌 콘텐츠 페스티벌 in 순천,전라남도 순천시 오천동,,34.9335115902,127.4979341176,3400856,"축제,인문",,[]
,글로컬 문화 in 남산 페스티벌,부산광역시 금정구 남산로 27 (남산동),,35.2668415191,129.0893638877,3020552,"축제,인문",,[]
,금강청소년축제,세종특별자치시  시청대로 147,,36.4807128659,127.2875176644,2935214,"축제,인문",,[]
,금능원담축제,제주특별자치도 제주시 한림읍 협재리,,33.3888630479,126.2340841383,2555759,"축제,인문",,[]
,금빛서동 - 누가 무왕이 될 것인가,전북특별자치도 익산시 금마면 고도9길 41-14,,36.0006415547,127.0609146595,3482642,"축제,인문",,[]
,금산 보곡산골 산벚꽃 축제,충청남도 금산군 군북면 자진뱅이길 39,,36.1943616874,127.5667171482,2950952,"축제,인문",,[]
,금산 삼계탕축제,충청남도 금산군 금산읍 인삼광장로 30,,36.1002101508,127.5012171957,2719507,"축제,인문",,[]
,금산세계인삼축제,충청남도 금산군 금산읍 인삼광장로 30,,36.1001990287,127.5005394787,506465,"축제,인문",,[]
,금정산성축제,부산광역시 금정구 산성로 501-2 (금성동),,35.2453211119,129.0570561824,1275743,"축제,인문",,[]
,금천청년축제,서울특별시 금천구 시흥대로73길 70 (시흥동),,37.4564933229,126.8955205706,3370146,"축제,인문",,[]
,금천패션영화제,서울특별시 금천구 디지털로10길 9 (가산동),,37.4776713039,126.8890705637,2874304,"축제,인문",,[]
,금천하모니축제,서울특별시 금천구 시흥대로73길 70 (시흥동),,37.4564933229,126.8955205706,2761411,"축제,인문",,[]
,금호강 바람소리길 축제,대구광역시 북구 산격동,,35.9095351113,128.6040247051,2560741,"축제,인문",,[]
,기장 붕장어 축제 with 해산물,부산광역시 기장군 기장읍 연화1길 204,,35.219179984,129.2276142815,2860868,"축제,인문",,[]
,기장군반려동물문화축제,부산광역시 기장군 정관읍 구연3로 27,,35.3222286938,129.1819237392,3493864,"축제,인문",,[]
,기장임랑썸머뮤직페스티벌,부산광역시 기장군 장안읍 임랑리,,35.3185806381,129.2642527829,2614130,"축제,인문",,[]
,기지시줄다리기 축제,충청남도 당진시 송악읍 안틀모시길 11,,36.8962157548,126.6947486805,141704,"축제,인문",,[]
